Partner,number,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
St Pierre and Miquelon,666,999,999,999,999,999,999,999,999,999,999
St Vincent and the Grenadines,670,-0.680841558,3.086298382,-0.584511699,0.03307449,0.162100965,777,999,6.522822601,0.552968186,-0.576367476
San Marino,674,999,999,999,777,999,31.39826261,-0.934617606,0.735015773,-0.714090909,777
Sao Tome and Principe,678,999,999,999,999,777,999,999,999,0.111111111,-0.032416667
Saudi Arabia,682,-0.561857997,1.015073503,-0.270817515,0.265576246,0.549916686,0.383327017,-0.528230951,0.25399162,-0.002945774,0.302774006
Senegal,686,5.401508769,-0.829181032,0.356550771,2.267797805,-0.697767292,0.989754437,4.355820211,-0.909702774,14.68642927,-0.512859307
Serbia,688,-0.920961682,5.445069645,0.065235468,1.743198925,-0.259043673,0.892078611,-0.81288515,0.74636537,0.980105625,-0.033422239
Seychelles,690,-0.859863196,1.94142698,-0.636841519,777,999,-0.343030749,2.178344544,-0.329355398,-0.440042076,3.680025047
Sierra Leone,694,2.705958687,0.719228959,777,999,31.65268695,0.312552445,777,999,999,-0.624390748
Singapore,702,-0.264637574,0.551752194,0.509238953,-0.124289611,-0.050645241,0.234110125,0.102819372,0.086589937,0.144686352,-0.046016359
Slovakia,703,0.562737161,0.14244329,3.572823754,-0.321104509,0.618208179,1.01130243,-0.648303136,-0.136652612,1.143497657,0.205634421
Vietnam,704,0.529424838,-0.202264895,0.519655502,0.175264253,1.239974256,1.488287496,0.030580997,0.188120575,-0.120574088,0.208768354
Slovenia,705,2.112085805,0.315481863,0.047405704,-0.066158302,1.09930275,-0.395688,-0.73140154,-0.512151335,0.347946342,-0.059683155
Somalia,706,999,777,999,999,777,999,999,999,999,999
South Africa,710,0.006413537,0.686099072,-0.384769614,0.659214694,0.203752723,0.435921942,-0.40493881,-0.093791883,0.308237386,0.882307976
Zimbabwe,716,-0.226709268,-0.591757441,0.342804567,-0.933897206,0.114578689,13.5307,-0.629191987,6.023106475,0.014526495,-0.341450708
Spain,724,0.347201539,0.434404712,-0.108537923,0.199668589,-0.010609614,0.2124423,-0.402871549,0.339803381,-0.059278737,0.165226355
South Sudan,728,999,999,999,999,999,999,999,999,999,999
Sudan,729,999,999,999,999,999,0.325706422,0.082963872,0.256894618,-0.18752219,-0.237357693
Suriname,740,1.061720172,0.359967264,4.642273462,-0.723641334,0.545311437,3.560411683,-0.423287995,0.387925843,-0.891625376,0.693253368
Swaziland,748,777,999,777,999,999,999,8.831422792,-0.903155007,93.48548159,777
Sweden,752,-0.071661427,0.066255034,-0.282317544,0.208533779,0.013552987,0.254087808,-0.158194692,0.256528178,0.144817608,0.447962264
Switzerland,756,0.474227779,-0.54350144,1.530725594,-0.464286156,-0.083987583,0.541003076,0.086967813,-0.023474349,0.002455895,0.490079946
Syria,760,-0.0380337,2.341178479,-0.799476639,-0.707352469,0.366809252,1.281108926,0.271441406,-0.147697215,-0.858829856,777
Tajikistan,762,777,999,-0.45068428,-0.139561977,777,999,999,4.618466899,777,999
Thailand,764,-0.153880992,0.04771147,0.526240903,-0.0076361,0.381237187,1.070772898,-0.238059392,0.122651713,-0.361213717,-0.025198913
Togo,768,-0.782446886,777,999,3.120122617,777,999,-0.984061111,0.293133496,38.85444744,-0.793426214
Tokelau,772,0.173655601,57.39070383,-0.965508596,101.5377397,1.250132114,-0.865507862,777,999,777,999
Tonga,776,999,999,999,999,777,999,999,999,777,999
Trinidad and Tobago,780,0.213942438,-0.077430593,0.42125784,0.627849118,0.744211558,0.644518269,-0.475720965,-0.155345652,0.004529496,0.161185093
United Arab Emirates,784,0.330614374,0.093718285,-0.021723154,0.332500259,0.395610625,0.584880774,-0.468536359,-0.309628023,0.721734532,0.43036325
Tunisia,788,9.394763028,-0.226473203,-0.150134541,0.610181691,-0.69928581,1.611067194,1.964534876,4.138264818,-0.719598186,-0.926257794
Turkey,792,0.285605283,0.136704746,0.274760089,1.913292484,0.086312263,0.147019056,-0.472721154,-0.171155118,1.015234428,-0.104746314
Turkmenistan,795,1492.50625,2.142163114,0.852207626,-0.967589129,0.471023431,-0.505649828,0.71622583,-0.853063204,2.615673845,-0.291393361
Turks and Caicos Islands,796,0.189562504,4.939270272,-0.606774753,3.857585655,-0.909185513,-0.532915213,7.348510853,-0.882914913,-0.014356538,-0.192811485
Tuvalu,798,999,999,999,999,999,999,999,999,999,999
Uganda,800,-0.138828323,2.640077746,-0.692603587,0.282978116,1.241843106,-0.538689235,1.04476982,-0.65896263,2.319076144,-0.262111644
Ukraine,804,1.778916589,0.380891657,0.277533362,0.137944248,1.227722309,1.050837158,-0.851932714,0.586481097,3.554135589,0.486102494
Macedonia,807,0.34726913,1.383009432,0.829977367,1.806574111,-0.277156766,-0.095409961,0.18773493,0.894057051,-0.983499355,33.06601602
Egypt,818,0.628531701,0.508001505,0.581131734,-0.151984451,-0.49832313,0.714569196,-0.153414484,0.208063156,-0.539577141,-0.00592302
United Kingdom,826,0.098456754,0.206833307,0.010150234,-0.045564041,0.093477115,0.241229787,-0.230833764,0.418893585,0.029889933,0.005961042
Tanzania,834,-0.309865624,2.253850353,0.350572481,-0.494639737,-0.003355626,0.695546931,-0.383480071,0.481701215,1.20739658,-0.579977208
Burkina Faso,854,1.940219092,-0.400468384,777,999,1.198674795,0.314319634,0.910596896,-0.695840114,1.248487163,-0.437001936
Uruguay,858,-0.37848313,-0.154534541,0.118696086,0.341198654,0.423994875,0.593934337,-0.406159744,1.06551922,0.161184888,-0.209108735
