Partner,number,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Romania,642,-0.388960884,0.862888247,0.937865647,-0.269027167,1.043487382,0.084007865,-0.558478047,0.708374737,0.685046407,0.287982862
Russia,643,0.604777574,1.123584194,0.374403769,0.65320258,0.42198639,0.4951468,-0.675571393,0.196764672,0.590083427,0.859217892
Rwanda,646,-0.577432731,-0.386206089,4.705635469,-0.214746655,-0.481801305,0.480953164,-0.69450486,-0.647584453,20.11121418,1.325410969
St Helena,654,999,999,-0.799081587,-0.603065965,-0.680502458,777,999,25.8206,-0.595721199,10.92020658
St Kitts and Nevis,659,1.1983443,-0.539274656,-0.181459076,1.334623264,-0.891842174,3.889476531,2.209425242,-0.293547448,-0.356323085,-0.41589462
Anguilla,660,1.752171254,0.415381424,1.74811062,-0.240022397,0.705988783,-0.761343071,0.090859851,0.007380157,-0.225999776,0.363803459
St Lucia,662,1.584453006,-0.925800364,11.40458568,-0.47692218,0.380769,0.366673292,0.59373324,2.561671182,-0.9092049,0.320122758
St Pierre and Miquelon,666,999,999,999,999,999,999,999,999,999,999
St Vincent and the Grenadines,670,1.998008127,4.600031891,-0.978796306,1.931960609,0.878396947,6.998211891,-0.511376339,-0.155697901,6.424267803,-0.569279337
San Marino,674,1.767640548,-0.976161879,-0.384019318,777,999,0.429515419,0.316640986,-0.721416033,8.800252048,-0.54133179
Sao Tome and Principe,678,999,999,1.483790323,0.431377642,32.26864013,-0.356082714,-0.812244812,0.345253671,-0.954052864,777
Saudi Arabia,682,-0.156336215,-0.055292571,0.297584909,0.112819108,0.23309893,0.54233704,-0.324378931,0.946534605,0.049561452,0.544828829
Senegal,686,-0.03878945,6.275272797,0.138062465,-0.436537791,-0.264944935,1.890048863,0.270636967,0.367222449,0.192444396,-0.254966284
Serbia,688,999,999,999,999,999,-0.225135093,-0.603256895,2.458059081,0.256151622,-0.166437315
Serbia and Montenegro,688,2.228174464,0.691352367,-0.068029538,0.949157002,777,999,999,999,999,999
Seychelles,690,999,999,999,777,999,8.313811022,-0.959850567,777,999,0.224268333
Sierra Leone,694,7.575510132,-0.495239485,0.602198537,-0.526173799,1.714843275,0.299678649,0.083839197,-0.376390047,0.559123393,-0.274947916
Singapore,702,-0.069377329,0.157302167,0.193313993,0.343321103,-0.023908559,0.077651666,0.040970486,0.869180643,0.278511139,-0.298088251
Slovakia,703,0.827661384,1.335688913,0.290825438,-0.449421175,1.238763594,0.098533309,-0.444729816,0.033416897,0.397817831,0.266039263
Vietnam,704,0.041977482,0.763819594,0.490357816,-0.409659878,0.186065266,0.54568419,0.01151524,0.067908546,0.703295949,-0.375844157
Slovenia,705,1.651582793,-0.179660681,1.760107058,-0.486368375,0.151593506,1.073710482,-0.72359071,-0.056041192,-0.008627944,0.125104456
Somalia,706,777,999,999,999,777,999,999,-0.665484713,777,999
South Africa,710,-0.363266161,-0.330925232,0.690195992,0.141076251,0.392684327,0.101319087,-0.441944009,2.056533487,-0.223555236,0.442160843
Zimbabwe,716,1.983014696,-0.90584823,4.340524543,2.260884113,1.171097622,-0.620895034,0.289608843,0.07107814,0.437121526,0.32384485
Spain,724,-0.012063722,0.007347411,-0.060578221,0.04819727,-0.046567361,0.137021323,-0.391488952,0.387284255,0.06937498,-0.000706689
South Sudan,728,999,999,999,999,999,999,999,999,999,777
Sudan,729,999,777,999,-0.827324216,777,999,999,0,777,999
Suriname,740,-0.094475555,-0.512549409,-0.34635296,3.554188005,0.757293148,0.123654329,-0.49797622,-0.115809565,1.576443175,0.718824203
"Svalbard, Jan Mayen Island",744,999,999,999,999,777,999,999,777,999,999
Swaziland,748,4.555555556,2.991107692,-0.812506264,3.189679276,-0.491505795,-0.487030032,2.251599067,2.053540227,-0.618136345,0.156147663
Sweden,752,0.165562907,0.027092416,-0.227411161,-0.160642659,-0.076813662,0.424863306,-0.144296181,-0.403971264,0.201207712,-0.086461776
Switzerland,756,-0.213995079,-0.087785212,0.211409472,0.492360146,0.139887801,-0.020987436,-0.645225154,0.922267888,0.642807539,0.516857545
Syria,760,2.237381665,-0.709224143,-0.995314968,1.966768293,1.616894461,7.334262714,-0.694606217,2.167411529,-0.841742155,777
Tajikistan,762,6.31372549,-0.963582265,777,999,7.792569659,-0.455457746,777,999,0.371866371,-0.516517346
Thailand,764,-0.121233788,-0.048506117,0.027043413,-0.049095669,0.211375995,0.196974308,-0.212379112,0.074073117,0.106737025,0.721978486
Togo,768,2.365402929,3.556303344,1.450374645,0.138327014,1.642951749,1.190981481,-0.64160485,-0.613226698,1.70677739,-0.352203794
Tokelau,772,317.0736264,-0.302816751,0.281199083,-0.876625891,0.303346657,0.312934922,-0.900312,1.095583776,0.076955458,-0.740329962
Tonga,776,999,999,1.164286738,777,999,999,22.23673167,777,999,999
Trinidad and Tobago,780,-0.078226893,-0.168986682,0.570776167,-0.203337546,-0.00245442,0.193956121,1.730096776,-0.600106653,-0.236816623,0.155330788
United Arab Emirates,784,0.991649259,0.072858385,0.34436965,-0.15892956,0.94487624,0.33358,-0.566587071,0.795598437,0.508481226,0.658134437
Tunisia,788,0.091198449,1.006755113,0.446102184,-0.077145035,0.090051356,9.334990856,-0.876961264,0.721889927,0.50045164,0.034214565
Turkey,792,0.293711737,1.110251276,-0.342916107,-0.038446175,0.568696127,1.054288101,-0.666994932,0.954086502,0.570005653,-0.181116568
